id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,difficulty,response
33340126,Depression,Diagnostic,What type of maternal caregiving is associated with lower depressive symptoms in adolescents?,High supervision and low encouragement,High encouragement and high supervision,Low encouragement and low supervision,High encouragement and low supervision,High encouragement and high supervision,2,Medium,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
22917617,Anxiety,Diagnostic,What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?,Dopamine receptors,Cortisol levels,Brain-derived neurotrophic factor,Glutamate activity,Brain-derived neurotrophic factor,3,Hard,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
33901503,Depression,Diagnostic,Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?,Dopamine receptors,N-methyl-d-aspartate receptors,GABA receptors,Serotonin receptors,N-methyl-d-aspartate receptors,2,Medium,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
21447076,Trauma,Diagnostic,What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?,Family history of suicidality,Substance abuse,Educational attainment,Personality dimensions,Personality dimensions,4,Medium,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
38533626,Obsessive/Compulsive Disorders,Diagnostic,What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?,Genetic predisposition,Neurochemical imbalance,Emotional regulation through sensory seeking,Psychosocial stressors,Emotional regulation through sensory seeking,3,Medium,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
27099770,Obsessive/Compulsive Disorders,Diagnostic,What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?,Reduced anxiety,Increased energy,Improved mood,Persistent hiccups,Persistent hiccups,4,Easy,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
33896319,Depression,Diagnostic,What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?,Depression,Anxiety,Stress,All of the above,All of the above,4,Easy,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
28366496,Trauma,Diagnostic,What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?,Bipolar Disorder,Depression,Posttraumatic Stress Disorder,Anxiety,Posttraumatic Stress Disorder,3,Medium,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
21247477,Anxiety,Diagnostic,What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?,It enhances cognitive functioning,It increases neurogenesis,It modulates anxiety-like behavior,It reduces symptoms of depression,It modulates anxiety-like behavior,3,Hard,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
34179383,Anxiety,Diagnostic,What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?,Skepticism and pervasive anxiety,Indifference towards her illness,Joy and relief,Complete confidence in her recovery,Skepticism and pervasive anxiety,1,Medium,"ID: 1  
Question: What type of maternal caregiving is associated with lower depressive symptoms in adolescents?  
Difficulty: Medium  

ID: 2  
Question: What is implicated as a required factor in serotonergic transmission within the basolateral amygdala related to anxiety disorders?  
Difficulty: Hard  

ID: 3  
Question: Which glutamate receptors are implicated in the pathophysiology of major depressive disorder?  
Difficulty: Medium  

ID: 4  
Question: What is identified as a mediating factor between childhood adversity and suicidality in male prisoners?  
Difficulty: Medium  

ID: 5  
Question: What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?  
Difficulty: Medium  

ID: 6  
Question: What possible side effect of aripiprazole was observed in an adolescent being treated for obsessive compulsive disorder?  
Difficulty: Easy  

ID: 7  
Question: What mental health symptoms are reported to be prevalent among fathers raising children with disabilities?  
Difficulty: Easy  

ID: 8  
Question: What psychological condition is frequently misrepresented due to the concept of malingering in legal contexts?  
Difficulty: Medium  

ID: 9  
Question: What role does the anterior cingulate cortex play in the regulation of anxiety-like behavior in adult mice?  
Difficulty: Hard  

ID: 10  
Question: What emotional response did the adult woman with cystic fibrosis experience despite positive treatment outcomes?  
Difficulty: Medium  "
