id,question,option1,option2,option3,option4,correct_option_number
b7d2be63-f9b1-4287-afd0-fea0c440bcad,"Male staed alcohol .0 years, presently taking 3 quaers daily over 3i, ,ears, now complains that he gets the kick in 1 quaer, diagnosis is:",Withdrawal,Mellanby phenomenon,Reverse tolerance,Cross tolerance,3
5c483ac2-e0e3-4e16-ab25-daf8808d7317,Rett's disease is caused by abnormality in __________,ATRY,HLADRB1,MECP2,PTEN,3
0562435a-0dd2-4175-868b-d009a6536c58,Deregulation and depersonalization are seen in which type of disorder,Dissociative disorder,Personality disorders,Mania,,1
55098efc-eb33-4970-8864-d29ae1cd164a,A 4-year-old girl who is an only child stas school. He has never shown much of an interest in interacting with others. He has never used many words which the parents attribute to his isolation as an only child. They tell the teacher he has always done best with a strict schedule and doesn't tolerate changes well. Other children attempt to play with him but his response is to either ignore them or get angry at their advances. The patient described can best be distinguished from Rett disorder because of which of the following?,Social difficulties,Lack of language development,Absence of a period of normal development,Evidence of mental retardation,3
68434e71-36bb-4432-95ee-d8255c788237,Type two schizophrenia is characterized by all except-,Negative symptoms,Poor response to TT,Disorganised behaviour,CT scan abnormal,3
15157d36-0042-46ce-8f6a-a4208f8282f7,"According to Kubler-Ross, the most common order of emotional reactions in grief is","Anger, depression, bargaining, denial, acceptance.","Denial, anger, bargaining, depression, acceptance","Anger, depression, denial, bargaining, acceptance","Aenial, bargaining , anger, depression, acceptance",2
e008ad2d-fc12-492d-98c8-db1305576c15,All are relatively normal in Korsakoff's psychosis except,Implicit memory,Intelligence,Language,Learning,4
b09a583c-bebc-48a1-97ec-12544bbf67ee,Which personality disorder of DSM-IV is not classified as PD & is placed with schizophrenia in ICD,Schizoid,Paranoid,Narcissistic,Schizotype,4
ff561628-9e42-4f3c-adb8-484ceb3fc70f,Best therapy suited to teach daily life skill to a mentally challenged child:,CBT (Cognitive behavior therapy),Contingency management,Cognitive reconstruction,Self instruction,2
86f6db79-95a7-47e7-a928-5e21c102ae44,Which of the following is not associated with dementia: March 2011,Forgetfulness,Alteration of consciousness,Reduced personal care,Loss of neurons in brain,2
6067fdba-10c4-49ef-9b83-6d25e500bf76,Which of the following is the drug of choice in obsessive compulsive disorder?,Olanzapine,Fluoxetine,Alprazolam,Chlorpromazine,2
1008dbe8-544f-4b99-a3b2-06107e6ea15d,Feature of delerium -,Altered sleep,Diorientation,Autonomicdisturbanes,All of the above,4
a9f4120f-bc7c-462c-b5c7-0d38c52e0df9,"A girl with normal milestones spend her time seeing her own hand, do not interact with others, what is the diagnosis?",ADHD,Autism,Asperger's syndrome,Rett's disorder,4
b0708d4b-e185-424c-ae60-4c1a830de38f,Schizophrenia can be treated with all of the following except -,Pemoline,Olanzapine,Sulpiride,Chlorpromazine,1
37dedb6d-d72c-4c05-8346-0fbd830887a9,"A 25 year old university student had a fight with the neighbouring boy. On the next day, while out, he started feeling that two men in police uniform were observing this movement. When he reached home in the evening he was frightened. He expressed that police was after him and would arrest him. His symptoms represent -",Delusion of persecution,Ideas of reference,Passivity,Thought insertion,1
89a4cfe4-a472-452a-838b-613f3309cf60,Treatment of resistant depression is ?,ECT,SSRI,TCAs,Venalafexine,1
39a5f9b9-2e38-4db1-84c8-cf85442d8591,Chronic mild depression of how much duration is considered to be dysthymia?,3 to 6 months,6 Months to 1 year,One to one and half years,More than 2 years,4
de7754a3-af97-49e9-ab5b-bfe51d2ea439,The psychiatric disorder most likely to be associated with epilepsy is:,Psychosis,Depression,Insomnia,Mania,2
5c82b8ea-2239-4ebe-bc42-f873173a9860,"The term ""id"" in the structural model of the mind refers to",Emotional pa of mind,Rational pa of mind,Moral pa of mind,Conscience pa of mind,1
af6e89cc-2243-4cff-9266-ac63f9eab960,"A 68-year-old man who was a diagnosed case of HIV infection for last 12 years was brought to outpatient depament for evaluation. His wife repos that for last 6 months she has been noticing changes in his behaviour. She fuher added that 'He appears uninterested and doesn't seem to care about anything. I haven't seen him crying or saying something negative, but may be he is getting depressed. He is also having difficulty remembering things ' The patient has been irregular with his HIV medications. His last CD4+ cell count, measured 5 months ago, was 210/mm3. While walking , patient was observed to have subtle jerking movements. Which of the following is the likely diagnosis?",Alzheimer's disease,Delirium,HIV-associated dementia,Major depressive disorder,3
f361defb-1a36-496f-b195-9dcb6bb31ea5,An individual with a known psychiatric disorder or on treatment and is not a minor can chose to decide the care taker and the course of treatment according to mental health act. This is called:,Advance directive,Treatment directive,Mental will,Future directive,1
2f8c74f1-e70e-431b-bc76-5bf5e5a5f320,Delayed onset PTSD is diagnosed if symptoms appear after ________ months.,1 months,3 months,6 months,1 year,3
644f3b2e-5539-4e7b-9ebd-bc95cce59064,Which of the following is a rave drug:,Cocaine,Methamphetamine,Heroin,Cannabis,2
d5ec916f-9114-4cc3-81da-d2100cd884e8,"A 40-year-old woman is brought by her husband for complaint of abnormal behavior. During the interview, she laughs and cries with a very sho period of time spontaneously. Her affect is best described as?",Apathy,Blunted affect,Euthymic affect,Labile affect,4
3567c16e-28fe-4fac-bd38-9284a93e85e3,Neuroleptic malignant syndrome is treated with:,Dantrolene,Corticosteroids,Diazepam,Hemodialysis,1
7b37ca1d-7166-46df-b411-06cea03ab88c,Ganser syndrome is a feature of -,OCD,Conversion disorder,Dissociative disorder,Schizoid personality disorder,3
3640aed5-75c5-47a1-9c61-f2b1ebe0ebc7,"The presence of delusion, hallucination and disturbed cognitive functions indicate:",Paranoid Psychosis,OCD,Dissociative disorder,Organic Brain Syndrome,4
10f7eb85-ebda-4224-bb87-18914bc64576,LSD was introducd by,albe hoffman,delay and deniker,John F Cade,Egaz Moniz,1
3476a76c-299a-4de8-a264-f1c6035cbc53,"A teenage boy is brought to the psychiatrist with complaint of him talking and acting strange. On examination he has auditory hallucinations, agitation and rapid incoherent speech. The duration of symptoms is unknown. Substance abuse history is also unknown. The diagnosis could be all of the following except?",Schizoaffective disorder,Generalized Anxiety Disorder,Bipolar Disorder,Substance-induced psychotic disorder,2
dd684469-6685-4d75-b6f3-18f25a01b478,Young person with self mutilating behaviour and impulsivity is suffering from?,Dependent personality disorder,Borderline personality disorder,Adjustment disorder,Paranoid personality disorder,2
3248d61d-0a35-437a-b389-5949b3510155,"A 30-year-old man since 2 months suspects that his wife is having an affair with his boss. He thinks his friend is also involved from abroad and is providing technical suppo. He thinks people talk ill about him. His friends tried to convince him but he is not convinced at all. Otherwise, he is normal, he doesn't have any thought disorder or any other inappropriate behaviour. The most likely diagnosis is",Paranoid personality disorder,Persistent delusion disorder,Schizophrenia,Acute and transient psychosis,2
81af1eab-3586-4ece-869f-9a0e2ddd5019,Hangover following alcohol consumption can be treated with -,Pyridoxine,Thiamine,Riboflavin,Niacin,2
7f5861c2-ca55-49c1-8900-7c78c3c30f2f,which of the following is not a side effect of MAOI,hypeensive crisis,hypotension,sexual dysfunctions,cheese reaction,2
4b2ae64e-c582-41dd-b5b1-3f916c54f084,All are features of somatization disorder except:,Frequently changing pain sites,Sexual symptoms,Paresthesia,Professional patients,4
dcb2b90e-961d-43c7-80ec-958363552da2,Which of the following features is not included in psychosis -,Panic attack,Delusion,Hallucination,Hypochondriasis,1
d6759d72-42e6-4207-a179-703ed0018760,Fluctuating level of consciousness is seen in,Hysteria,Delirium,Dementia,Mania,2
8c8c85d4-75c5-4cb5-b734-5d2a4e433c83,"Classical triad of global confusion, ataxia and ophthalmoplegia is seen in -",Alzheimer's disease,Delerium tremors,Wernicke's encephalopathy,Korsakoff psychosis,3
b4679297-0956-422e-afc2-677b99fb4846,Not an indication for use of anticonvulsants:,Chronic pain,Bipolar Disorder,Anxiety disorder,Diabetic neuropathy,4
0af5461c-ee98-41f1-ab74-bcf88b690044,Which of the following is not characteristic of Type I Schizophrenia,Positive symptoms,"CT, MRT shows enlarged ventricles",Good Prognosis,None of the above,2
d16d394f-3f48-489e-9c2d-52acaa084631,Subcoical dementia is seen in all except :,Parkinsonism,Alzheimer's disease,Wilsoms disease,Huntingtons Chorea,2
d728f5f9-1879-48d2-8ee3-7edd8d9599b5,"An elderly woman suffering from schizophrenia is on antipsychotic medication. She developed purposeless involuntary facial and limb movements, constant chewing and puffing of cheeks. Which of the following drugs is least likely to be involved in this side effect:",Halperidol,Clozapine,Fluphenazine,Loxapine,2
d27eba20-eb70-4197-b9a8-4983d685f2af,which of the SSRi is used in the management of panic disorder,paroxetine,seraline,trazadone,escitalopram,1
6488c99f-2b2f-4a08-bbc3-b223c77c8ec0,Hallucinations are seen in all except -,Schizophrenia,Seizure due to intracerebral space occupying lesions,LSD,Anxiety,4
2e6037d0-d479-4683-bfb4-568e1a2f52da,Which of the following can cause delirium -,Hypoxia,Barbiturates,Alcohol withdrawal,All of the above,4
c98a8cfb-ba5d-4cb8-ade4-0e0448d72ea8,"20 years old female with complaints of nausea, vomiting, dizziness and pain in the legs. Her physical examination and all lab investigations and radiological investigations are normal. What would be the most probable diagnosis?",Generalized anxiety disorder,Conversion disorder,Somatoform pain disorder,Somatisation disorder,4
08aab97e-ccb8-4511-be4c-00804e4f42af,The following questionnaire is sued for screening,Alcoholism,Tobacco use,IV drug abuse,All of the above,1
6ff7d1c9-33b4-42fc-9fb1-e539081be49b,Treatment of choice for phobic disorder is,Psychotherapy,Behaviour therapy,SSRI,Benzodiazepam,2
7805ab2b-5c81-4f5e-adf2-6df2e0386345,Which of the following statements comparing serotonin-dopamine antagonists (SDAs) with dopamine receptor antagonists (DRAs) is true?,DRAs is first choice of treatment for schizophrenia.,SDAs produce more neurological adverse effects.,SDAs produce more extrapyramidal symptoms.,SDAs affect both serotonin and glutamate receptors.,4
f40f610a-3150-433b-a532-4af53d809199,Which of the following is not used in delirium?,Haloperidol,Lithium,Diazepam,Olanzapine,2
512a9ca3-83f2-4d8f-93a9-c506f28b7759,Which of the following is not seen in a case of borderline personality disorder?,Identity crisis,Dissociative events,Risk taking behaviour,Strong interpersonal relationships,4
2781b6ec-0b5a-43a1-850f-a60772ddf32a,Doppelganger is -,Shadow following person,Feeling of double of oneself,Indentification of stranger as familiar,None of the above,2
0e6612f9-8a65-457b-ab0e-9ce5f39ad9fd,In Alzheimer's disease (AD) which of the following is not seen:,Aphasia,Acalculia,Agnosia,Apraxia,2
fba2590c-7130-4c46-a273-8293588905df,Psychodynamic theory of mental illness is based on:,Unconscious internal conflict,Maladjusted reinforcement,Organic neurological problem,Focuses on teaching patients to restrain absurd thoughts,1
3eef5a1d-9fb5-4238-8265-b72cd2ecb57c,Leaden paralysis is seen in,Severe depression,Melancholic depression,Atypical depression,Narcolepsy,3
1c7222d5-8536-4b29-9d2a-fdaf8f802c08,Most common type of schizophrenia is,Paranoid,Catatonic,Hebephrenic,Simple,1
d0526bb2-64f2-49dc-bdb9-34044b17747a,MMSE is used for the diagnosis of :,Alzheimer's disease,Schizophrenia,Depression,Anxiety disorders,1
120d322b-c0ed-454c-8d87-4daaff96e136,Coprolalia is an impoant symptom for which of the following disorder ?,Anxiety disorder,Avoidant personality disorder,Tourette's disorder,Stereotypic movement disorder,3
1b061c59-19fe-4745-911f-fa4fcfde1237,Neurotransmitter playing major part in the pathogenesis of Alzheimer's disease -,Serotonine,Norepinephrine,Acetylcholine,Dopamine,3
9a8fb36e-4322-40e3-ad6e-552cb343c441,Moral treatment of mentally ill-patient was first stressed by:,Pinel,Morel,Kraepelin,Sigmund freud,1
cf3c2f1f-47d2-4352-929b-d98ac41847de,Delusions are not likely to be seen in:,Dementia,Depression with psychotic symptoms,Schizophrenia,Conversion disorder,4
dc7f4b5c-a7a1-473a-ab0e-e932928bf57c,A young female on antidepressants presents to the emergency with altered sensorium and hypotension. ECG reveals wide QRS complexes and right axis detion. Next best step for the management of this patient:,Sodium bicarbonate,Hemodialysis,Fomepizole,Flumazenil,1
44093620-505b-4e07-a8b0-49f5b2abdb05,"In a alcoholic man, 'Blackouts' are seen in?",Alcohol abstinence,Hepatic encephalopathy,Alcohol intoxication,Alcohol withdrawal,3
de55860c-a5ad-4865-a693-047866e32317,"A 9 yr old child is restless. He is hyperactive and his teacher complains that he does not listen to the teachings. Disturbs other students, he also shows less interest in playing. The likely diagnosis is -",Cerebral palsy,Attention deficit hyperkinetic child,Delirium,Mania,2
08f667d5-824a-498b-bb9a-e73277ebb39c,Not a pa of Kubler Ross stages of impending death is:,Shock,Denial,Anger,Aggression,4
43a98b12-4ccc-4d47-95fd-07c94472eb6b,The patients of Down syndrome has high risk of developing  ________ in the future :,Parkinson syndrome,Lewy body dementia,Alzheimer's disease,Juvenile myoclonic epilepsy,3
46758100-e75d-4d01-9644-8f4c497000f7,Amnesia is found in,Head injury,Mania,Schizophrenia,Psychiatric state,1
a2ab422e-4a04-4f7b-946f-87f22bc24878,A patient presents to the emergency depament with self harm and indicates suicidal intent. Which of the following conditions does not warrant an immediate specialist assessment,Formal thought disorder,Acute Alcohol intoxication,Chronic Severe physical illness,Social isolation,2
4fcfb274-2b1a-48a8-9bc8-535f0f6a5a12,"An appropriate pre-Lithium work-up includes all of the following, EXCEPT:",Erythrocyte sedimentation rate,Serum creatinine,Thyroid-stimulating hormone (TSH),Serum electrolytes,1
202dbf4e-b610-4aa1-a268-f4ad1593051d,All are associated with Wernicke's encephalopathy except,Cog wheel rigidity,Alteration in mental function,6th nerve palsy,Ataxia,1
5cee1e6d-b1c1-4f68-b9ce-e81ea1fc62e5,Desensitization form of behavior therapy is used for :,Phobic disorder,Anxiety neurosis,Mania,Depression,1
d40e50da-2367-4936-930a-7d8c81f3bc48,Which of the following antipsychotics is available in a depot injection?,Fluphenazine,Ziprasidone,Trifluperazine,Aripiprazone,1
51351c00-e363-419e-9052-23ca53fc9362,Sodomy is punishable under:NEET 14,Sec. 354 IPC,Sec. 375 IPC,Sec. 377 IPC,Sec. 378 IPC,3
0075eab5-98bd-4b5c-86f3-a12fc76e9151,All of the following are done in behavior therapy to increase a behavior except:,Punishment,Operant conditioning,Negative reinforcement,Reward,1
a388748a-2f80-4670-ac90-f7f57bd5cdb3,All the following are characteristic of schizophrenia except:,Third person hallucination,Inappropriate emotions,Intermittent mood changes,Formal thought disorder,3
593891c3-b17c-470d-8a85-8db7bf534670,"In stupor catatonia, all are seen except -",Agitation,Catalepsy,Mutism,Akinesia,1
3cfeff15-6063-4de7-8aac-e97821faffb9,Ekbom's syndrome is seen in,Cocaine intoxication,Amphetamine,Severe depression,Acute psychosis,1
779accf0-abd5-44ed-8cfe-40dfa3d94a81,"""WurgStimme"" sign refers to?","Speaking odd muffled or strangled voice,seen in schizophrenia.","Speaking odd muffled or strangled voice,seen in Mania.",Areas of hair loss with broken hair seen in Schizophrenia,Areas of hair loss with broken hair seen in Mania,1
3973afb9-8b1c-401c-a369-15dd68ec62c5,Features of delirium:,Deficit of attention (Attention Deficit),Autonomic instability (dysfunction),Altered sleep wake pattern,All,4
8aa0209f-b77e-48da-90c6-3cff9a12dac8,A psychiatrist is upset with one of his patients and only to realize that the patient reminded him of his depaed father. This is possibly called:,Transference,Counter transference,Projection,Rationalization,2
69986786-977e-4296-aa2b-51bad8db8b14,Alexithymia is :,A feeling of intense rapture,Pathological sadness,Affective flattening,Inability to recognise and describe feelings,4
dfd1d652-a863-429e-a3af-ec732c57e575,Eugene Blueler's 4As include following except ?,Autism,Affect,Anhedonia,Association,3
fb409fe3-341c-48ec-ba33-886ce9f7dc4c,One of the following is a reversible cause of dementia :,Toxic dementia,Alzheimer's ds.,Multi - infarct dementia,Pick ds,1
fa20054b-05de-4e53-a0c7-1404ee848f74,Which of the following is the most common cause of premature death in schizophrenia:,Homicide,Suicide,Toxicity of antipsychotic drug,Hospital acquired infection,2
82aeb6d5-9c7a-4f24-b2de-610590854c78,Counter transference is:,A Type of defense mechanism,Psychic connection between patient and disease with transfer of psychic energy from body pas to brain,Implies doctor's feelings towards patient,Patient's feelings towards doctor during psychotherapy,3
2daba84e-fd72-4570-b03d-2072ac82b76c,"When an H.O.D scolds a PG, he shows anger on house surgeon this is",Displacement,Repression,Projection,Sublimation,1
4a65bc50-34f6-40ce-9aa3-8cb058fabe63,Obnoxious Smell and Olfactory hallucination is seen in lesions of:,Temporal lobe,Frontal lobe,Parietal lobe,Occipital lobe,1
fb9f25d6-d825-46ac-bbeb-44c2fa9c583e,Personality type associated with coronary aery disease :,A,B,C,D,1
f8c097e0-8086-474f-bf04-03f583779261,The characteristic clinical manifestation of schizophrenia is:,Confusion,Anxiety,Auditory hallucinations,Visual hallucinations,3
66d9970f-a59d-4379-b85b-877ed31565c5,"A 30 year old man has become suspicious that his wife is having an affair with his boss. He thinks his friend is also involved from abroad by providing support his friends tried to convince him but failed to do so. The patient is otherwise normal, doesn't have any hallucination or any other socially inappropriate behavior. The most likely diagnosis is",Schizophrenia,Acute Psychosis,Persistent delusional disorder,Adjustment disorder.,3
c10cfb0c-a1f9-41b5-8891-147f6f5fe3f9,Which of the following drug is a common and classical example producing reverse tolerance?,LSD,Cannabis,Alcohol,Nicotine,3
edceef2a-c021-40e3-ae79-a36dfdeb193e,Global cerebral dysfunction characterized by alteration in cognitive function and consciousness is known as,Acute anxiety,Depression,Delirium,Dementia,3
5941acac-92b5-4ba6-83c0-aefaa969cf1e,The eight-stage classification of human life is proposed by,Erikson,Pavel,Strauss,Sigmund freud,1
a6874576-93ac-4764-bb54-41ded09bf90f,A young female presented with halo's abdominal pain and amnesia she is likely to be suffering from,Conversion disorder,Dissociative disorder,Depresonalization disorder,Mania,2
09472bfe-55ad-4146-80a2-7c6ff73f88da,"A patient of Schizophrenia was staed on neuroleptics, his psychotic symptoms began to improve however he developed sadness, would talks less to others, would mostly remain to bed. This presentation could be caused by all of following except:",Parkinsonism,Major depression,Negative symptoms are still persisting,He is reacting to external stimuli,4
87a3bac4-9464-46b1-a732-e88953375794,xylene and toluene ate types of,inhalants,hallicinigens,stimulants,anabolic androgenic steroids,1
001ac7a3-ea77-4abe-a702-0e738625bfb8,Thiamine dose in patients with delirium tremens is about:,100-200 mg per oral/Parenteral daily,250 mg per oral/Parenteral daily for first 3-5 days,400 mg per oral/Parenteral daily,500 mg per oral/Parenteral daily,2
04c04f49-6965-4df7-a508-3de56ea58468,Cardinal feature of antisocial personality disorder is:,Violation of rules of society,Attention-seeking behavior,Unstable interpersonal relationships,Grandiose behavior,1
a310c61b-a27c-41db-a263-12ac60b57d98,"A 21 years old female was brought to psychiatry opd by her parents. According to mother, patient for last one month has been complaining that the neighbours are trying to record her activities and that they have put a camera in her room. She fuher says that two neighbourhood aunts keep on talking about her and make vulgar comments about her. Mother said that she has never heard any such voice and there house is quite separated from neighbours and its impossible that any voice can come to their house. However, patient insists that people are talking about her and some conspiracy is being hatched about her. The patient was diagnosed with schizophrenia and she was put on risperidone 3 mg/day. Patient showed significant improvement in her symptoms however on follow up she complained of milky discharge from nipples. Which of the following brain pathway is responsible for this side effect?",Mesolimbic tract,Mesocoical tract,Tubero-Infundibular tract,Coico-striato-thalamic tract,3
ea1fe75b-51c5-4000-8523-40769ce3bec7,Frequent suicidal tendencies are seen in which of the following: September 2009,Schizophrenia,Severe depression,Borderline personality disorder,All of the above,4
0837f907-1b0f-4850-ae7a-3d575c6ce4d9,Agoraphobia is :,Getting caught in places from where escape would be difficult,Fear of heights,Fear of animals,Fear of closed spaces,1
06c21e6b-39e6-44d4-a04a-b5e40ee1280f,Derealisation and depersonalisation seen in which type of disorder,Dissociative disorder,Personality disorder,Mania,Depression,1
12852a86-74ac-4a15-b715-ee7bab11a824,"A 50 year old Mehta, presents to his physician every month complaining about headache which he suspects could be a brain tumour. Despite having done a normal MRI scan he is not convinced that the diagnosis ruled out. The physician thinks that he misinterprets the body sentsations and is ovely concerned about his health. What is the likely diagnosis?",Pituitary Tumour,Hypochondriasis,Somatisation Disorder,Capgras Syndrome,2
700f1fb5-cb8e-4cd7-845f-9e0a26324303,Most common complication of modified ECT,Intracerebellar Bleed,Fracture spine,Body ache,Amnesia,4
255ef6bc-2687-4270-b5cf-8da740385d8a,"Regarding obsessive compulsive disorder, which of the following is true?",Most common obsession is obsession of contamination,Most common compulsion is compulsion of checking,Obsession is a disorder of possession of thought,All the above are true,4
770bc4d9-4695-4113-ac7b-533831d71d08,Dementia is seen in all except :,Schizophrenia,Head injury,Huntington's chorea,Frontal lobe tumour,1
84399792-c871-4a42-a925-359c3d3f0690,A man had a fight with his neighbour. The next day he staed feeling that police is following him and his brain is being controlled by radio waves by his neighbour. The history is suggestive of which psychiatric sign/symptom:,Thought inseion,Passivity,Delusion of persecution,Obsession,2
4268551a-8539-4bb0-b672-61d82c53b1c8,Not a selective serotonin reuptake inhibi-tor,Fluoxitine,Fluoxamine,Buspirone,Citaloforamin,3
d8d9e5e6-8452-4313-a574-27514ef29b34,Which of the following drug is not used in the treatment of akathisia?,Benzodiazepam,Propranolol,Trihexyphenidyl,Haloperidol,4
8803b55c-dd83-452a-ba70-ca2a4653a350,A 25 year old male believes that his penis is decreasing in size everyday and one day it will disappear one day and he will die. Diagnosis is -,Obsession,Somatization,Hypochondriasis,Delusion disorder,4
503f2fbb-e87a-43b7-982b-202749c4040d,Which of the following is commonly used in narcoanalysis?,Atropine sulfate,Cannabinoids,Opium compounds,Thiopentone,4
d4b69558-1e48-455e-8e8d-3697309ed9ab,A person w anders in public places by removing his clothes it is called -,Voyeurism,Frotterurism,Exhibitionism,Unidinism,3
45019cf0-606b-4b12-bb1f-a457c8c39c67,A 50 year old woman with schizophrenia who has been taking a antipsychotic drug for the past 3 years has begun to show involuntary chewing and lip-smacking movements. Which can be the most likely possibility?,Akathisia,Neuroleptic Malignant Syndrome,Restless Legs Syndrome,Tardive Dyskinesia,4
68b3323a-3dfd-4ed4-825d-8b9a8366d443,"A 42 year old male with a past history of a manic episode presents with an illness of 1 month duration characterized by depressed mood, anhedonia and profound psychomotor retardation. The most appropriate management strategy is prescribing a combination of:-",Antipsychotics and antidepressants,Antidepressants and mood stabilizers,Antipsychotics and mood stabilizers,Antidepressants and benzodiazepines,2
cc9cc2a5-c47f-4e82-bbb6-a85dd4b9eae4,"Drug of choice for obsessive-compulsive disorder is:March, 2005, September 2009",Seraline,Alprazolam,Chlorpromazine,Fluoxetine,4
42b7fa27-244f-40eb-94e5-e6179788b0a4,All is true about pseudocyesis except:,Abdominal enlargement,Patient is pregnant,Labor pains at expected date of delivery,Amenorrhea,2
99123bf5-5cdb-4ff0-8a2e-4a3427a8e558,All of the following neurotransmitters are suspected of being involved in the pathophysiology of schizophrenia except -a) Prostaglandins E b) Norepinephrinec) Ascorbic acidd) 5-HT,a,ac,ad,b,2
85543a5e-b685-454a-bd57-74e56f44c555,Agoraphobia is -,Fear of closed space,Fear of crowds,Fear of death,Fear of fire,2
5304928b-fdc3-4b8d-92c7-4b1ae59d4d12,SSRIs are useful in treatment of:,Erectile dysfunction,Premature ejaculation,Retrograde ejaculation,Infeility,2
a44166de-858c-407d-b12a-1aa6cbd1a8af,A patient with bipolar disease had a manic episode. Drug of choice in this situation is:,Lithium,Amphetamine,Diazepam,Alprazolam,1
1613052d-3cf1-4200-921b-bfc9d18da96e,"A 23 year old man was found roaming aimlessly near New Delhi Railway Station. When the police enquired about his whereabouts he appeared confused and was not able to tell details about his name and address. He was not able to give any information about how he reached the railway station and could not recall anything about his past. His belongings included an AADHAR CARD, where the address was of srinagar, jammu & kashmir. When his family was contacted, they repoed that his father had died yesterday and since than he went missing. What is the likely diagnosis?",Dissociative fugue,Dissociative identity disorder,Post traumatic stress disorder,Depersonlaization/derealization,1
0cf9207a-9c41-4134-9926-3666e261a886,ECT is mainly indicated in:,Severe depression,Schizophrenia,Somatization disorder,Hysteria,1
1ff8ffa6-b578-4af8-8671-1f1440e4eb97,Most important receptors involved with schizophrenia are?,GABAA,GABAB,D2,5-HT1,3
472901f8-de35-4232-bf14-8df81c3a13d5,"A person restricts himself to house and fears about trains, elevators, and shopping malls. It is a feature of",Generalised Anxiety disorder,Agoraphobia,Claustrophobia,Acrophobia,2
46efca8b-a60e-4e43-a982-db9a17fce8d8,The withdrawal from all of the following may produce suicidal tendencies except -,Cocaine,Amphetamine,Alcohol,Cannabis,4
e1637e14-39af-4b05-a984-930b1a170d4f,Indications for ECT are all except ?,Severe depression with suicidal risk,Catatonic schizophrenia,Severe psychosis,Sever manic attack,4
