srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
19,Anxiety,Preventive,Which factor significantly impacts the willingness to practice meditation for anxiety management during the pandemic?,Gender and lifestyle choices,Age and comorbidity symptoms,Education level and job stability,Marital status and income level,Age and comorbidity symptoms,Y,Y,Y,Y,2,3
20,Anxiety,Diagnostic,What type of negative thought process is suggested to potentially give rise to symptoms characteristic of generalized anxiety disorder and obsessive compulsive disorder?,Sadness,Worry,Rumination,Fear,Worry,Y,Ans - Rumination,Y,Y,2,3
21,Anxiety,Preventive,What intervention method showed promise in supporting mental health during the COVID-19 pandemic in vulnerable populations?,Meditation retreats,Medication management,Digital Psychological First Aid,In-person group therapy,Digital Psychological First Aid,Y,Y,Y,Y,3,3
23,Anxiety,Preventive,What intervention can be used to manage anxiety symptoms in patients undergoing chemotherapy?,Music therapy,Cognitive-behavioral therapy,Exercise,Medication,Cognitive-behavioral therapy,Y,Y,Cognitive-behavioral therapy,Cognitive-behavioral therapy,2,4
24,Anxiety,Diagnostic,What behavior was noted to be increased in heterozygous female mice that may indicate a component of obsessive-compulsive behavior?,Grooming behavior,Exploratory behavior,Vocalization,Social interaction,Grooming behavior,Y,Y,Y,Y,1,4
25,Anxiety,Factoid,Which emotional symptom was associated with fewer negative cigarette effects in adolescents?,Major Depressive Disorder,Social Anxiety Disorder,Panic Disorder,Generalized Anxiety Disorder,Major Depressive Disorder,Y,Y,Y,Y,1,4
26,Anxiety,Diagnostic,Which factors related to childhood experiences were associated with increased risks of psychological distress in health professional students?,High academic performance,Positive family relationships,Childhood adversity,Stable mental health,Childhood adversity,Y,Y,Y,Y,3,4
29,Anxiety,Preventive,What strategies can be implemented in psychiatric settings to effectively reduce medication errors during patient transitions of care?,Medication audits,Regular patient follow-ups,Therapeutic education for caregivers,Increased medication storage,Medication audits,Y,Y,Y,Y,1,2
30,Anxiety,Factoid,What was the most frequent psychiatric disorder diagnosed among patients with temporal lobe epilepsy with mesial temporal sclerosis?,Psychotic disorders,Obsessive-compulsive disorders,Depressive disorders,Anxiety disorders,Depressive disorders,Y,Y,Y,Y,3,1
31,Anxiety,Diagnostic,What is a common emotional response reported by patients suffering from immune thrombocytopenia upon receiving a delayed diagnosis?,Frustration,Depression,Anxiety,Indifference,Frustration,Frustration,Ans- Frustration,Frustration,Frustration,1,2
32,Anxiety,Prognostic,How might partner behaviors in coping potentially influence stress recovery in individuals with attachment anxiety?,Worsen stress recovery,Create emotional distance,Have no effect,Enhance recovery speed,Enhance recovery speed,Y,Y,Y,Y,4,1
33,Anxiety,Prognostic,How does the interaction between pain intensity and experiential avoidance relate to the severity of anxiety symptoms among economically disadvantaged Latinos?,Indicating lower anxiety levels,Suggesting increased anxiety symptoms,Proposing no relationship,Reflecting better coping mechanisms,Suggesting increased anxiety symptoms,Y,Y,Y,Y,2,4
34,Anxiety,Prognostic,What has been suggested to improve the mental well-being of individuals experiencing psychological stress due to COVID-19?,Isolation measures,Increased medication,Avoidance strategies,Coping strategies,Coping strategies,Y,Y,Y,Y,4,4
35,Anxiety,Prognostic,How might chronic stress exposure impact the anxiety-related behaviors in individuals experiencing stress-related disorders?,Decrease in anxiety-like behaviors,No impact on anxiety,Increase in cognitive function,Increase in anxiety-like behaviors,Increase in anxiety-like behaviors,Y,Y,Y,Y,4,4
36,Anxiety,Diagnostic,Which therapeutic component of Cognitive Behavioral Therapy is most effective in reducing anxiety during exposure to phobic stimuli?,Exposure only,Breathing techniques,Combination of techniques,Self-Verbalizations,Combination of techniques,Y,"Ans-Combination of techniques. Combining these three techniques has been shown to be more effective in reducing anxiety when exposed to phobic stimuli. Exposure helps individuals gradually learn to control their fear, while breathing techniques regulate the physical symptoms of anxiety, and self-talk challenges irrational thoughts. Using these techniques together can lead to more comprehensive and lasting improvements in managing phobic anxiety.",Y,"Ans-Combination of techniques. Combining these three techniques has been shown to be more effective in reducing anxiety when exposed to phobic stimuli. Exposure helps individuals gradually learn to control their fear, while breathing techniques regulate the physical symptoms of anxiety, and self-talk challenges irrational thoughts. Using these techniques together can lead to more comprehensive and lasting improvements in managing phobic anxiety.",3,3
37,Anxiety,Prognostic,How might higher levels of GAD literacy affect adolescents' future intentions to seek help for anxiety disorders?,Increase help-seeking intentions,Decrease help-seeking intentions,Worsen their anxiety symptoms,Have no effect,Increase help-seeking intentions,Y,Y,Y,Y,1,3
38,Anxiety,Prognostic,"How does aging impact the reactivity of the fear/anxiety circuit in Lewis rats, particularly in relation to anxiety levels?",Decreased anxiety levels,No impact on anxiety levels,Increased neuronal activation,Increased anxiety and enhanced reactivity,Increased anxiety and enhanced reactivity,Y,Y,Y,Y,4,3
39,Anxiety,Preventive,What strategies could enhance reflective learning and reduce anxiety levels in occupational therapy education?,Eliminating self-evaluation,Promoting current critical incident analysis,Focusing solely on past incidents,Minimizing group discussions,Promoting current critical incident analysis,Y,Y,Y,Y,2,4
40,Anxiety,Preventive,Which of the following factors is suggested to help promote mental health resilience in adolescents?,Engagement in physical activity,Sedentary lifestyle,Social isolation,High academic pressure,Engagement in physical activity,Y,Y,Y,Y,1,3
41,Anxiety,Diagnostic,"In patients with borderline personality disorder, how does trait anxiety influence cognitive performance during emotional interference tasks?",it enhances emotional regulation,it improves overall memory,it decreases amygdala activation,it correlates with longer reaction times,it correlates with longer reaction times,Y,Y,Y,Y,4,1
42,Anxiety,Prognostic,What is likely to happen to individuals who engage in both forced and voluntary wheel running in terms of their anxiety-related responses to stress?,Worsened stress perception,Unchanged anxiety levels,Increased anxiety,Reduced anxiety-related responses,Reduced anxiety-related responses,Y,Y,Y,Y,4,3
43,Anxiety,Diagnostic,How are emotional and behavioral problems associated with the severity of autism spectrum disorder symptoms?,Inversely correlated,No correlation,Positively correlated,Negatively correlated,Positively correlated,Y,Y,Y,Y,3,3
44,Anxiety,Prognostic,How does the fear of COVID-19 correlate with symptoms of depression and anxiety among adults during the pandemic?,Positively correlated,Negatively correlated,Unpredictable correlation,No correlation,Positively correlated,Y,Y,Y,Y,1,3
45,Anxiety,Preventive,Which type of training is proposed to help manage anxiety and improve performance in basketball players?,Cognitive-behavioral therapy,Physical endurance training,Nutritional supplementation,Heart rate variability biofeedback,Heart rate variability biofeedback,Y,Y,Y,Y,4,2
46,Anxiety,Preventive,What strategies can be employed to reduce anxiety levels in college athletes during their off-season?,Regular exercise,Dietary changes,Isolation from peers,Increased academic workload,Regular exercise,Y,Y,Y,Y,1,3
48,Anxiety,Prognostic,How does variability in anxiety levels potentially influence individual differences in olfactory perception?,No impact on olfactory perception,Increases sensitivity to odors,Affects olfactory memory,Decreases odor identification,Increases sensitivity to odors,Y,Y,Y,Y,2,3
49,Anxiety,Factoid,What psychological symptoms showed a significant decrease in patients after participating in the Mindful Awareness Practices program for adults with ADHD?,Post-traumatic stress symptoms,ADHD symptoms,Obsessive thoughts,Bipolar symptoms,ADHD symptoms,Y,Y,Y,Y,2,4
50,Anxiety,Diagnostic,What behavioral symptom differentiates youth with Generalized Anxiety Disorder from nonanxiety-disordered peers?,Decreased physical activity,Reduced ability to stop worrying,Increased sociability,Improved academic performance,Reduced ability to stop worrying,Y,Y,Y,Y,2,2
51,Anxiety,Prognostic,How might an increase in screen time during the pandemic impact adolescents' mental health?,It may correlate with worsening emotions and mental health outcomes,It will have no significant effect,It is likely to enhance social interactions,It could lead to improved academic performance,It may correlate with worsening emotions and mental health outcomes,Y,Y,Y,Y,1,2
53,Anxiety,Diagnostic,What aspect of visual attention was shown to be atypical in autistic children during face observation?,Indifference to facial expressions,Preference for mouth gaze,Quick orientation away,Gaze avoidance,Gaze avoidance,Gaze avoidance,Ans-  Gaze avoidance,Gaze avoidance,Gaze avoidance,4,3
54,Anxiety,Preventive,What is a recommended strategy for managing co-occurring anxiety in individuals with pathological gambling?,Escitalopram treatment,Psychotherapy alone,Antipsychotic augmentation,Avoiding all medications,Escitalopram treatment,Y,Y,Y,Y,1,2
55,Anxiety,Prognostic,How might fear of COVID-19 influence aggressive behaviors in online environments during a pandemic?,Via enhanced empathy,By improving social interactions,By increasing pro-social behaviors,Through moral disengagement,Through moral disengagement,Y,Y,Y,Y,4,4
56,Anxiety,Preventive,What approach may effectively lower psychological cravings in patients undergoing rehabilitation from alcohol dependence?,Individual cognitive therapy,Pharmacological treatment alone,Family therapy only,Grouping motivational interviewing,Grouping motivational interviewing,Y,Y,Y,Y,4,3
57,Anxiety,Prognostic,Which demographic factor was identified as a protective influence against depression during quarantine periods among individuals?,Older age,High education level,Being male,Living with children,Living with children,Y,Y,Y,Y,4,2
58,Anxiety,Preventive,What benefit is associated with the involvement of multiple caregivers in cognitive-behavioral therapy for anxiety in dementia patients?,Enhanced treatment documentation,Increased medication compliance,Reduction in caregiver burnout,Improved family communication,Improved family communication,Y,Y,Y,Y,4,1
59,Anxiety,Prognostic,Which specific anxiety disorder has been shown to predict the onset of alcohol use disorders in adolescents?,Post-traumatic stress disorder,Generalized anxiety disorder,Panic disorder,Social anxiety disorder,Social anxiety disorder,Y,Y,Y,Y,4,2
61,Anxiety,Prognostic,How does maternal psychological distress during pregnancy influence the likelihood of elective cesarean sections?,Increases likelihood,No effect,Decreases likelihood,Only affects labor duration,Increases likelihood,Y,Y,Y,Y,1,2
62,Anxiety,Diagnostic,What emotional challenges are typically faced by patients diagnosed with multi-drug-resistant tuberculosis?,Euphoria about treatment,Indifference to diagnosis,Fear of death,Complete optimism,Fear of death,Y,Y,Y,Y,3,1
63,Anxiety,Diagnostic,"Which biological factor may explain the relationship between severe anxiety disorders, depression, and cardiovascular disease risk?",Dietary habits,Genetic predispositions,Autonomic nervous system activity,HPA axis dysregulation,HPA axis dysregulation,HPA axis dysregulation,Ans- HPA axis dysregulation,HPA axis dysregulation,HPA axis dysregulation,4,2
64,Anxiety,Prognostic,How might attachment style influence the quality of romantic relationships during stressful circumstances?,Anxious attachment improves relationship quality,Attachment style is irrelevant to relationship quality,Avoidant attachment has no impact,Anxious attachment diminishes relationship quality,Anxious attachment diminishes relationship quality,Y,Y,Y,Y,4,4
65,Anxiety,Diagnostic,What type of early life stress has been shown to lead to an anxious/depressive phenotype in rats?,Social isolation,Chronic pain,Food deprivation,Prenatal restraint stress,Prenatal restraint stress,Y,Y,Y,Y,4,2
66,Anxiety,Preventive,What potential resource can assist women with mental illnesses in making informed decisions regarding psychotropic medication use during pregnancy?,Psychological counseling,Self-help books,Telehealth services,Patient decision aids,Patient decision aids,Y,Y,Y,Y,4,2
67,Anxiety,Diagnostic,Which psychosocial factors have been associated with internet overdependence among Malaysian youths?,Anxiety and depression,High academic performance,Regular exercise,Strong social connections,Anxiety and depression,Y,Y,Y,Y,1,3
68,Anxiety,Diagnostic,What premedication is reported to reduce preoperative anxiety with minimal cognitive impairment in elective surgery patients?,Diazepam,Ibuprofen,Ketamine,Melatonin,Melatonin,Y,Y,Y,Y,4,2
69,Anxiety,Preventive,Which intervention aspect might help reduce parental stress among those caring for children with Autism Spectrum Disorder?,Improving parenting confidence,Increasing family adjustment,Decreasing caregiving burden,Enhancing physical health,Improving parenting confidence,Y,Y,Y,Y,1,3
71,Anxiety,Preventive,What strategies can be implemented to mitigate the psychological impact of cumulative adversities in populations experiencing economic collapse and disasters?,Promote physical exercise programs,Conduct regular community stress assessments,Expand mental health services,Increase funding for education,Expand mental health services,Y,Y,Y,Y,3,4
72,Anxiety,Prognostic,"Based on the effects of tickling on socially isolated rats, what change in behavior may be predicted following positive emotional stimuli?",Higher stress levels,Decreased fear response,Increased aggression,Sustained freezing behavior,Decreased fear response,Y,Y,Y,Y,2,1
73,Anxiety,Prognostic,How might individual variations in stress responses influence the long-term management of psychological conditions?,Increased hospitalization rate,Increased treatment efficacy,Decreased treatment options,Original symptoms alleviated,Increased treatment efficacy,Y,Y,Y,Y,2,2
74,Anxiety,Preventive,What strategies might athletes employ to mitigate feelings of burnout following a period of reduced sport demands?,Negative self-talk,Increased training volume,Rest and recovery,Minimizing social support,Rest and recovery,Y,Y,Y,Y,3,1
75,Anxiety,Prognostic,What condition is most likely reported among patients enrolled in the UK's first medical cannabis registry?,Obsessive-compulsive disorder,Bipolar disorder,Chronic pain,Schizophrenia,Chronic pain,Y,Y,Y,Y,3,4
76,Anxiety,Diagnostic,What long-term neuropsychiatric conditions are associated with COVID-19 infection?,Increased IQ,Autism spectrum disorder,Depression and anxiety,Schizophrenia,Depression and anxiety,Y,Y,Y,Y,3,4
77,Anxiety,Diagnostic,What factor appears to contribute to the anxiety observed in rats after excitotoxic lesions in the magnocellular nucleus basalis?,Enhanced cognitive function,Neurotransmitter imbalance,Increased cholinergic activity,Decreased serotonin levels,Neurotransmitter imbalance,Y,Y,Y,Y,2,2
78,Anxiety,Factoid,Which factor is indicated as contributing to better mental health during stressful times like the COVID-19 pandemic?,individual therapy,living with close others,age,exercise frequency,living with close others,Y,Y,Y,Y,2,2
79,Anxiety,Diagnostic,Which cognitive technique has been shown to reduce self-reported anxiety in imagined scenarios?,Focusing on past experiences,Increased specificity of prompts,Ignoring emotional content,Imagining negative scenarios,Increased specificity of prompts,Y,Y,Y,Y,2,1
80,Anxiety,Factoid,Which cognitive weakness is linked to higher anxiety symptoms when coupled with lower word reading scores?,Auditory Processing,Visual Perception,Processing Speed,Memory,Processing Speed,Y,Y,Y,Y,3,1
81,Anxiety,Preventive,What evidence-based strategy might help improve the mental wellbeing of parents and carers of children with developmental and epileptic encephalopathies?,Mindfulness Training,Cognitive Behavioral Therapy,Medication,Physical Activity,Mindfulness Training,Y,Y,Mindfulness Training,Mindfulness Training,1,3
82,Anxiety,Prognostic,How might enhanced access to personal protective equipment (PPE) influence burnout levels among physicians working during a pandemic?,Worsen mental health issues,Increase burnout levels,Decrease burnout levels,Have no effect on burnout,Decrease burnout levels,Y,Y,Y,Y,3,1
83,Anxiety,Diagnostic,Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?,Internalized anger control,Trait anger,Externalized anger expression,Hostility,Trait anger,Internalized anger control,Ans- Trait anger,Y,Y,2,1
84,Anxiety,Diagnostic,What aspect of inhibitory control is notably impaired in individuals with bipolar disorder as indicated by event-related potential findings?,Speed of execution,Accuracy of response,Visual processing speed,Memory recall,Speed of execution,Accuracy of response,Ans- Speed of execution,Y,Y,1,1
85,Anxiety,Factoid,"Which factor is indicated to predict higher composite somatic, anxiety, and depressive symptoms in Latinx immigrants?",Acculturation,Legal Status,Marital Status,Income,Acculturation,Y,Y,Y,Y,1,2
86,Anxiety,Preventive,What strategies are essential for recognizing and assisting parents experiencing anxiety in the Pediatric Intensive Care Unit?,Reduced medication,Increased patient visits,Routine screening,Minimized communication,Routine screening,Y,Y,Y,Y,3,1
87,Anxiety,Diagnostic,Which type of dietary behavior is associated with increased anxiety symptoms in children and adolescents with fructose malabsorption?,Reduced fiber intake,Low protein intake,Increased sugar consumption,High fat consumption,Increased sugar consumption,Y,Y,Y,Y,3,1
88,Anxiety,Diagnostic,How does attachment security in adolescents relate to their mental health and behavioral responses during stressful situations like the COVID-19 pandemic?,It predicts lower anxiety,It prevents health problems,It has no effect,It causes higher anxiety,It predicts lower anxiety,Y,Y,Y,Y,1,3
90,Anxiety,Prognostic,How does the frequency of perceived discrimination relate to psychological distress when events are rated with low stress?,It reduces distress,It has no relationship,It predicts greater distress,It only affects depression,It predicts greater distress,Y,Y,Y,Y,3,4
91,Anxiety,Factoid,What patient-reported outcome measure showed significant improvement after treatment with cannabis for generalized anxiety disorder?,Visual Analog Scale,Sleep Quality Index,General Anxiety Disorder Scale,Quality of Life Scale,General Anxiety Disorder Scale,Y,Y,Y,Y,3,3
92,Anxiety,Diagnostic,Which psychiatric condition is linked to the sensory dimension of pain experience in patients with breast cancer?,Depression,Insomnia,Stress,Anxiety,Anxiety,Y,Y,Y,Y,4,1
93,Anxiety,Diagnostic,Which psychological condition remained elevated in a significant subgroup of patients after ICD implantation?,Vital exhaustion,Generalized anxiety disorder,Mania,Post-traumatic stress disorder,Post-traumatic stress disorder,Post-traumatic stress disorder,Ans-  Post-traumatic stress disorder,Post-traumatic stress disorder,Post-traumatic stress disorder,4,4
94,Anxiety,Prognostic,How is the craving for methamphetamine expected to be influenced by negative mood states during detoxification in female users?,Temporarily reduced,Decreased,Unchanged,Increased,Increased,Y,Y,Y,Y,4,3
95,Anxiety,Prognostic,How does the incidence of insomnia compare between patients with sudden sensorineural hearing loss and those without this condition?,Higher in SSNHL patients,Higher in non-SSNHL patients,Lower in SSNHL patients,The same,Higher in SSNHL patients,Y,Y,Y,Y,1,1
96,Anxiety,Prognostic,How might heightened morning cortisol levels in IBS patients indicate potential psychosocial vulnerabilities?,Demonstrate improved emotional stability,Suggest lower stress susceptibility,Increase resilience to stress,Indicate potential for increased stress responses,Indicate potential for increased stress responses,Y,Y,Y,Y,4,2
97,Anxiety,Prognostic,How may perceived distress tolerance influence future substance use patterns in adolescents?,Have no effect over time,Act as a protective factor,Increase likelihood of substance use,Enhance craving for substances,Act as a protective factor,Y,Y,Y,Y,2,3
98,Anxiety,Prognostic,"What is a potential risk associated with the concurrent use of gabapentin, opioids, and benzodiazepines in patients with mental health conditions?",Enhanced mental clarity,Increased odds of respiratory depression,Improved pain management,Reduced anxiety levels,Increased odds of respiratory depression,Y,Y,Y,Y,2,2
99,Anxiety,Preventive,"Which therapeutic approach shows promise in preventing nightmares, thereby potentially reducing related anxiety levels?",Exposure therapy,Cognitive restructuring,Positive reinforcement therapy,Imagery rehearsal therapy,Imagery rehearsal therapy,Y,Y,Y,Y,4,1
100,Anxiety,Diagnostic,What underlying factors were identified as barriers to mental health help-seeking behaviors among adolescents in Oman?,Access to healthcare facilities,Fear and lack of family support,Cultural stigma,Age and gender,Fear and lack of family support,Y,Y,Y,Y,2,1
101,Anxiety,Preventive,Which factor is identified as a critical mechanism to cope with mental health challenges faced by anaesthetists during the COVID-19 pandemic?,Access to personal protective equipment,Increased workload,Support from family and colleagues,Job dissatisfaction,Support from family and colleagues,Y,Y,Y,Y,3,3
102,Anxiety,Preventive,What therapeutic approach has shown promise in reducing suicide risk among older adults with anxiety disorders?,Mindfulness Meditation,Exposure Therapy,Problem-Solving Therapy,Cognitive Behavioral Therapy,Problem-Solving Therapy,Y,Y,Y,Y,3,2
104,Anxiety,Preventive,How do empathic abilities affect social behavior during acute stress in patients with social anxiety disorder?,They buffer negative effects,They increase stress response,They have no impact,They worsen anxiety,They buffer negative effects,Y,Y,Y,Y,1,4
105,Anxiety,Preventive,Which intervention has been shown to effectively minimize anxiety in patients undergoing Mohs micrographic surgery?,Administering a sedative,Increasing pre-operative counseling,Listening to self-selected music,Providing mindfulness training,Listening to self-selected music,Y,Y,Y,Y,3,1
107,Depression,Diagnostic,Which brain region's disrupted connectivity was associated with impaired negative emotional processing in female patients with major depressive disorder?,Anterior cingulate cortex,Amygdala,Parahippocampal gyrus,Dorsolateral prefrontal cortex,Anterior cingulate cortex,Dorsolateral prefrontal cortex,"Ans- Anterior cingulate cortex ACC plays cenral role in regulating emotional responses  and cognitive control. Disrupted connectivity in the ACC has been linked to impaired processing of negative emotions in female patients with major depressive disorder (MDD). This disruption contributes to increased sensitivity to negative stimuli and difficulty managing emotional responses, hallmark symptoms of MDD. While other regions like the amygdala and dorsolateral prefrontal cortex play roles in emotion and cognition, the ACC's connectivity is specifically implicated in emotional regulation deficits in MDD.",Y,Y,1,1
108,Anxiety,Preventive,What psychological support strategies could benefit long-term survivors of metastatic non-small cell lung cancer treated with novel therapies due to their experiences of uncertainty?,Increased social activities,Education on disease progression,Medication management,Physical therapy,Education on disease progression,Y,Y,Y,Y,2,3
110,Depression,Diagnostic,Which factors were identified as main predictors of depressive symptoms in an ageing population?,Fluid intelligence and lesion location,Sex and living arrangements,Physical activity and diet,Medication adherence and social support,Fluid intelligence and lesion location,Y,Ans- Sex and living arrangements,Y,Y,1,2
111,Anxiety,Diagnostic,How does social anxiety affect recognition memory for threatening words compared to individuals with low social anxiety?,Improved recognition,Enhanced recognition,No effect,Impaired recognition,Impaired recognition,Y,Y,Y,Y,4,1
112,Anxiety,Factoid,What role does glyoxalase 1 (GLO1) play in relation to psychiatric disorders?,Regulation of dopamine,Production of serotonin,Inflammatory response,Detoxification of methylglyoxal,Detoxification of methylglyoxal,Y,Y,Y,Y,4,1
113,Anxiety,Prognostic,How might the presence of cognitive impairment and longer duration of psychiatric disorders affect neuroimaging outcomes in patients?,Worsening diagnostic clarity,Increased likelihood of abnormalities,Decreased need for follow-up,Improved treatment efficacy,Increased likelihood of abnormalities,Y,Y,Y,Y,2,4
114,Anxiety,Diagnostic,What psychological factors are identified as mediators between familial risk and mental health problems such as anxiety and depression?,Lack of adaptive coping,High social support,Physical exercise,Positive self-esteem,Lack of adaptive coping,Y,Y,Y,Y,1,3
115,Anxiety,Preventive,What intervention is suggested for managing phenibut use disorder to alleviate anxiety in patients?,Increased dosage,Immediate cessation of use,Withdrawal management,Cognitive-behavioral therapy,Withdrawal management,Y,Y,Y,Y,3,4
116,Anxiety,Diagnostic,What condition has been proposed to describe ongoing mental health morbidity associated with fear of terrorism?,Post-traumatic stress syndrome,Anticipatory anxiety disorder,Chronic anxiety syndrome,Pre-traumatic stress syndrome,Pre-traumatic stress syndrome,Y,Y,Y,Y,4,1
117,Anxiety,Diagnostic,What factor is associated with the presence of adverse reactions when using drug-herb combinations for treating anxiety and depression?,Gender,Unemployment,Age,Education level,Unemployment,Y,Y,Y,Y,2,2
118,Anxiety,Diagnostic,What type of stimuli sensitivity is heightened by adolescent exposure to delta-9-tetrahydrocannabinol and ethanol in rodent models?,Pain stimuli,Reward stimuli,Fear stimuli,Cognitive stimuli,Fear stimuli,Y,Y,Y,Y,3,1
119,Anxiety,Preventive,What strategies may enhance the early detection and treatment of mental disorders in young people?,Extended therapy sessions,Health Information Technologies,In-home visits only,Increased medication dosage,Health Information Technologies,Y,Y,Y,Y,2,2
120,Anxiety,Diagnostic,Which neuropeptide systems are involved in regulating stress responses and associated depressive effects?,Dopamine and serotonin,GABA and glutamate,Corticotropin-releasing factor and arginine vasopressin,Norepinephrine and acetylcholine,Corticotropin-releasing factor and arginine vasopressin,Y,Y,Y,Y,3,3
121,Anxiety,Diagnostic,Which specific method of nonsuicidal self-injury was shown to have significant associations with severity of suicide attempts in patients with substance use disorders?,Burning,Minor tissue damage,Blunt force,Cutting,Cutting,Y,Y,Y,Y,4,3
122,Anxiety,Preventive,What intervention could potentially improve Australian farmers' well-being by enhancing their sense of control over daily stressors?,Enhancing internal locus of control,Increasing agricultural training sessions,Promoting external locus of control,Reducing daily stressors,Enhancing internal locus of control,Y,Y,Y,Y,1,3
123,Anxiety,Preventive,What intervention strategies could potentially address the discrepancies between clinician ratings and parent reports of childrenâ€™s social functioning in anxiety treatment?,Family Therapy,Cognitive Behavioral Therapy,Medication Management,Exposure Therapy,Cognitive Behavioral Therapy,Y,Y,Y,Y,2,3
124,Anxiety,Diagnostic,Which brain structures are indicated to be associated with anxiety disorders due to anti-amphiphysin antibodies in stiff person syndrome?,Amygdala,Cortex,Thalamus,Hippocampus,Amygdala,Y,Y,Y,Y,1,3
125,Anxiety,Prognostic,How does acupuncture affect the frequency of migraine attacks based on reported outcomes in patients?,Decreases frequency,Varies by individual,No effect on frequency,Increases frequency,Decreases frequency,Y,Y,Y,Y,1,3
