id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
35503486,Depression,Prognostic,How does the presence of comorbid psychiatric disorders influence the hospitalization burden in patients with inflammatory bowel disease?,Decreases healthcare costs,Reduces hospitalization duration,Increases risk of surgical procedures,Increases hospitalization days,Increases hospitalization days,4,4.0
28139369,Depression,Prognostic,How does the combination of alcohol dependence and depression affect suicidal ideation among military personnel?,Keeps risk stable,Reduces risk dramatically,Shows no effect,Increases risk significantly,Increases risk significantly,4,2.0
33918631,Depression,Diagnostic,Which marginalized identities contribute to a higher likelihood of experiencing adverse mental health outcomes in transgender and gender-diverse youth?,Socioeconomic Status,Geographical Location,Race/Ethnicity,Gender Identity,Race/Ethnicity,3,2.0
21199042,Depression,Diagnostic,What is associated with symptoms of psychiatric distress in parents of children with complex needs?,High income levels,Poor social support,Lack of family engagement,Stable mental health,Poor social support,2,1.0
33888426,Depression,Factoid,Which physiological marker showed predictive value for treatment response to ketamine in major depressive disorder?,Serum cortisol,Heart rate,Respiratory rate,Blood pressure,Heart rate,2,1.0
23737599,Obsessive/Compulsive Disorders,Diagnostic,What correlation is observed between the volume of the right nucleus accumbens and severity of compulsions in OCD patients?,Inverse correlation,Cyclical correlation,No correlation,Positive correlation,Positive correlation,4,4.0
22573456,Anxiety,Prognostic,How might genetic variations impact anxiety symptoms in women raising children with fragile X syndrome?,By enhancing social support,By influencing depression levels,By increasing parenting stress,By moderating cortisol responses,By moderating cortisol responses,4,2.0
34989294,Anxiety,Preventive,What method is suggested as a potentially durable solution for addressing perinatal mental health issues during the pandemic?,Telemedicine only,Hybrid model of in-person and telemedicine,In-person only care,Standard inpatient treatment,Hybrid model of in-person and telemedicine,2,4.0
33435642,Anxiety,Diagnostic,What psychological history was significantly correlated with higher worry scores among peripartum women?,History of substance abuse,History of schizophrenia,History of post-traumatic stress disorder,History of general anxiety disorder,History of general anxiety disorder,4,1.0
35986100,Anxiety,Preventive,Which coping strategy was associated with a decreased likelihood of anxiety in young breast cancer survivors?,Engagement in physical activity,Alcohol/drug use,Emotional support from family,Avoidance strategies,Emotional support from family,3,1.0
20733591,Depression,Diagnostic,Which factor is significantly associated with increased depressive symptoms in individuals with spinal cord injury?,Increased physical activity,Optimal pain management,High levels of social support,Self-reported overweight status,Self-reported overweight status,4,3.0
22413563,Depression,Prognostic,What factor significantly increases the suicide risk in outpatients treated for substance use disorder compared to those treated for depressive disorder?,Severity of depression,Comorbidity with anxiety,Substance abuse history,Gender differences,Substance abuse history,3,3.0
23249815,Depression,Factoid,What type of stimulation was analyzed in the meta-analysis for its efficacy in treating major depression?,Low-frequency repetitive transcranial magnetic stimulation,High-frequency transcranial magnetic stimulation,Deep brain stimulation,Electroconvulsive therapy,High-frequency transcranial magnetic stimulation,2,2.0
32556377,Depression,Prognostic,What trend in suicide mortality rates was observed among individuals with mental disorders compared to the general population?,Fluctuating rates in mental disorders,Increasing rates in both populations,Decreasing rates in mental disorders and stable in the general population,Stable rates in mental disorders but decreasing in the general population,Stable rates in mental disorders but decreasing in the general population,4,1.0
22449566,Depression,Prognostic,How might the fluctuation of depressive symptoms in community-residing older adults impact the long-term mental health strategies needed for this population?,Suggests that no intervention is necessary,Indicates a need for continuous mental health monitoring,Shows that depression is only a temporary issue,Implying older adults will always improve,Indicates a need for continuous mental health monitoring,2,1.0
21172694,Depression,Prognostic,How might personality traits influence the occurrence of depressive symptoms in shift workers?,Increase risk for all,Lower risk for all,Lower risk only in three-shift workers,Increased risk only in two-shift workers,Increase risk for all,1,1.0
27658142,Depression,Diagnostic,What medication was implicated in causing blepharospasm in a patient diagnosed with major depressive disorder?,Olanzapine,Quetiapine,Divalproex sodium,Sertraline,Olanzapine,1,1.0
15323586,Depression,Prognostic,What characteristic is associated with an increased risk of suicidal behavior in bipolar disorder patients?,Increased social support,Low number of depressive episodes,Older age at diagnosis,History of psychiatric disorders in relatives,History of psychiatric disorders in relatives,4,4.0
25469988,Depression,Prognostic,How might the presence of supportive school environments impact levels of depressive symptoms in sexual minority students?,Decrease depressive symptoms,Only increases anxiety,No impact on depressive symptoms,Increase depressive symptoms,Decrease depressive symptoms,1,1.0
37042796,Depression,Preventive,"Which underlying factors were identified as predictors of high ideation among African American adolescents, indicating areas for prevention efforts?",Community Violence Exposure,Peer Relationships,Parental Support,Hopelessness and Depression,Hopelessness and Depression,4,4.0
34931763,Anxiety,Diagnostic,What type of anxiety was more frequently reported by parents of preschool children during the COVID-19 curfew?,Performance anxiety,General anxiety,Separation anxiety,Social anxiety,Separation anxiety,3,3.0
35472479,Anxiety,Preventive,What strategy can higher education institutions adopt to alleviate the impact of anxiety on e-learning intentions among college students?,Decrease course workload,Increase face-to-face interactions,Focus on physical education programs,Improve perceived usefulness of e-learning,Improve perceived usefulness of e-learning,4,2.0
34085203,Anxiety,Diagnostic,"What psychological condition is indicated by the fear of negative evaluation due to appearance, and is associated with eating disorders?",Social Appearance Anxiety,Generalized Anxiety Disorder,Obsessive-Compulsive Disorder,Panic Disorder,Social Appearance Anxiety,1,2.0
34965402,Anxiety,Preventive,Which factor was identified as a protective factor against COVID-19 related peritraumatic distress?,Male sex,Night sleep changes,Physical activity reduction,Higher educational level,Higher educational level,4,2.0
34634657,Depression,Factoid,What was one of the most frequently used keywords in publications related to mental health and depression during COVID-19?,Depression,Bipolar disorder,Anxiety,Schizophrenia,Depression,1,1.0
37680513,Depression,Preventive,How can acute aerobic exercise impact the emotional state of rheumatoid arthritis patients as indicated by their BDNF levels?,Worsen depressive symptoms,Reduce anxiety and depression,No effect on emotional state,Increase emotional resilience,Reduce anxiety and depression,2,2.0
34690248,Depression,Prognostic,"How do combinations of depression, anxiety, and stress affect oral health-related quality of life in periodontitis patients?",No effect on OHRQoL,Improve OHRQoL,Enhance periodontal health,Worsen OHRQoL,Worsen OHRQoL,4,3.0
34266302,Depression,Factoid,Which factor is associated with lower antidepressant treatment effectiveness in patients with comorbid chronic pain?,Type of antidepressant used,Older age,Genetic liability to chronic pain,Duration of depression,Genetic liability to chronic pain,3,2.0
33343433,Depression,Diagnostic,What primary reason for psychiatric hospitalization was significantly associated with voluntary admission in youths?,Aggressive behavior,Depressive symptoms,Anxiety disorders,Substance abuse,Depressive symptoms,2,2.0
33407857,Depression,Preventive,What type of support is suggested to be emphasized in future supportive housing programs to have a positive impact on mental health among residents?,Nutritional guidance,Physical therapy,Social support,Financial support,Social support,3,1.0
24134359,Depression,Prognostic,What is a significant factor that could enhance the risk of suicide within the first six months following discharge from a nursing home?,Effective discharge planning,Cognitive decline,Advanced age,Post-discharge follow-up,Post-discharge follow-up,4,2.0
35773784,Depression,Factoid,Which brain region showed reduced engagement in both depressive and bipolar disorders compared to healthy controls during working memory tasks?,Dorsolateral prefrontal cortex,Thalamus,Cerebellum,Hippocampus,Dorsolateral prefrontal cortex,1,1.0
31004555,Depression,Diagnostic,What clinical feature is strongly associated with the presence of agitation in patients experiencing severe depressive episodes in bipolar disorder?,Hyperactivity,Increased appetite,Sleep enhancement,Suicidal ideation,Suicidal ideation,4,2.0
36276228,Depression,Prognostic,Which type of treatment for suicidal ideation has shown rapid-acting efficacy in major mood disorders?,Ketamine and esketamine,Cognitive Behavioral Therapy,Electroconvulsive Therapy,Antidepressant medications,Ketamine and esketamine,1,2.0
22381955,Depression,Factoid,Which two disorders are combined into the proposed DSM-5 diagnosis of Chronic Depressive Disorder?,Seasonal Affective Disorder and Major Depressive Disorder,Dysthymic Disorder and Major Depressive Disorder,Post-Traumatic Stress Disorder and Dysthymic Disorder,Bipolar Disorder and Major Depressive Disorder,Dysthymic Disorder and Major Depressive Disorder,2,3.0
22763493,Depression,Preventive,Which behavioral determinant was significantly improved in insurance physicians after the implementation strategy for depression guidelines?,Referral rates,Patient compliance,Knowledge and skills,Self-regulation,Knowledge and skills,3,3.0
22945620,Depression,Prognostic,What role does subgenual cingulate activity play in predicting treatment outcomes for cognitive therapy in depression?,It has no correlation with therapeutic success,It correlates with sustained improvement,It predicts poor treatment response,It indicates a need for medication,It correlates with sustained improvement,2,2.0
20371028,Depression,Preventive,Which assessment approach is recommended to improve the identification and treatment of major depressive disorder in clinical settings?,Measurement-Based Care,Individualized Therapy,Subjective Assessment,Psychodynamic Assessment,Measurement-Based Care,1,1.0
34953927,Depression,Preventive,What paternal characteristic may help alleviate the negative effects of mothers' parenting stress and depression on marital satisfaction?,Assertiveness,Empathy,Apathy,Conflict avoidance,Empathy,2,2.0
24416612,Anxiety,Preventive,Which medication is noted as a potential treatment for anxiety disorders in patients with platelet dysfunction?,Venlafaxine,Clomipramine,Buspirone,Citalopram,Buspirone,3,1.0
34145679,Anxiety,Factoid,What gastrointestinal symptom was reported by a higher percentage of individuals during the COVID-19 pandemic compared to the previous year?,Self-reported milk intolerance,Functional dyspepsia,Irritable bowel syndrome,Heartburn,Irritable bowel syndrome,3,1.0
35292971,Anxiety,Diagnostic,Which psychiatric polygenic risk score is associated with specific anxiety symptoms in children and adolescents?,Depressive disorder,Obsessive-compulsive disorder,Bipolar disorder,Neuroticism,Neuroticism,4,1.0
33847028,Depression,Diagnostic,Which type of self-relationship is identified as having a direct correlation with increased suicide probability?,Self-criticism,Self-affirmation,Self-attacking,Self-kindness,Self-attacking,3,1.0
34642520,Depression,Prognostic,How does self-critical perfectionism impact the flexibility of coping with life changes during the COVID-19 pandemic?,Decreases flexibility,Results in better mental health,Has no effect on coping,Leads to increased flexibility,Decreases flexibility,1,3.0
34825440,Depression,Factoid,What core aspect of social cognition is reported as impaired in individuals with bipolar disorder?,Memory,Coping strategies,Emotion recognition,Attention,Emotion recognition,3,4.0
22939818,Depression,Diagnostic,Which region's stroke location is associated with symptoms including executive dysfunction and depression in patients with vascular dementia?,Dorsomedian thalamus,Anteromedian thalamus,Caudate nucleus,Anterior capsule,Anteromedian thalamus,2,3.0
35219567,Depression,Preventive,Which method can nurses use to support patients with cancer coping with depression and anxiety?,Increased medication intake,Surgical interventions,Relaxation techniques,Isolation recommendations,Relaxation techniques,3,3.0
28393336,Depression,Diagnostic,What is a common psychological intervention believed to reduce mental distress in breast cancer patients?,Mindfulness meditation,Psychoanalysis,Cognitive behavior therapy,Pharmacotherapy,Cognitive behavior therapy,3,3.0
33709810,Depression,Preventive,"What strategies might help support autistic adolescents who engage in camouflaging, to prevent increased levels of mental health issues?",Increasing screen time,Reducing physical activities,Improving social skills and self-acceptance,Encouraging competitive activities,Improving social skills and self-acceptance,3,1.0
22592133,Depression,Prognostic,How might symptoms of depression and anxiety influence the future diagnosis of hypertension?,Only affect males,No effect on hypertension diagnosis,Increase likelihood of hypertension diagnosis,Decrease likelihood of hypertension diagnosis,Increase likelihood of hypertension diagnosis,3,1.0
27737312,Depression,Preventive,What is one major risk factor for suicide identified in the case of Robin Williams?,Relationship problems,Lack of drug use,High self-esteem,Financial stability,Relationship problems,1,4.0
35699130,Depression,Factoid,Which psychiatric disorder has shown therapeutic potential from recent psychedelics research?,Bipolar disorder,Schizophrenia,Depression,Generalized anxiety disorder,Depression,3,3.0
33677773,Depression,Prognostic,How might improving access to recreational activities impact depression trajectories in rural areas?,It may stabilize depression symptoms,It may increase depression rates,It may lead to improved mental health outcomes,It may not affect depression trajectories,It may lead to improved mental health outcomes,3,3.0
22329823,Depression,Diagnostic,What facet of negative self-processing is significantly associated with elevated symptoms of complicated grief?,Self-devaluation,Self-confidence,Self-criticism,Self-affirmation,Self-devaluation,1,1.0
35842074,Depression,Prognostic,How might the addition of a dopaminergic agent to esketamine treatment influence outcomes for patients with treatment-resistant depression?,It could decrease response durability,It may improve efficacy and response duration,It leads to increased side effects,It is unrelated to treatment efficacy,It may improve efficacy and response duration,2,1.0
21985692,Depression,Factoid,What surgical procedure was performed on the patient with treatment-resistant major depression and comorbid obsessive-compulsive disorder?,Deep brain stimulation,Unilateral right anterior capsulotomy,Vagus nerve stimulation,Bilateral anterior capsulotomy,Bilateral anterior capsulotomy,4,1.0
33868114,Depression,Prognostic,What role does cognitive behavioral therapy (CBT) play in the treatment of psychological issues related to infertility?,Enhances social connections,Increases physical health,Decreases financial burdens,Improves pregnancy rates,Improves pregnancy rates,4,4.0
35331820,Depression,Prognostic,How do lower fractional anisotropy measures in specific white matter tracts correlate with subthreshold hypomania severity in non-bipolar individuals?,Predict worsening severity,Suggest improvement,Have no relation,Indicate stability,Predict worsening severity,1,2.0
21156092,Depression,Diagnostic,What are the inflammation-related proteins hypothesized to be associated with in mood disorders?,Symptom alleviation,Cognitive resurgence,Pathophysiology,Social functioning,Pathophysiology,3,3.0
36268005,Depression,Preventive,What strategies can be implemented to address stress that mediates the relationship between residential environment satisfaction and feelings of depression in the elderly?,Encouraging isolation,Improving environmental design,Increasing noise levels,Reducing medication use,Improving environmental design,2,2.0
33777576,Depression,Diagnostic,What underlying condition is linked to increased rates of depression in women with a specific reproductive disorder?,Menopause,Polycystic Ovary Syndrome,Uterine Fibroids,Endometriosis,Polycystic Ovary Syndrome,2,1.0
36300881,Depression,Factoid,Which class of compounds has been identified as having potential therapeutic effects for treating depression?,Flavonoids,Alkaloids,Steroids,Iridoids,Iridoids,4,3.0
11883723,Depression,Prognostic,How might the stability of premenstrual dysphoric disorder (PMDD) over 48 months impact its treatment strategies?,Suggesting a focus on long-term management,Recommending immediate hospitalization,Indicating the need for short-term interventions,Promoting exclusively herbal treatments,Suggesting a focus on long-term management,1,2.0
21655345,Depression,Preventive,What characteristic of aripiprazole could potentially reduce adverse metabolic effects when used for bipolar disorder?,Lower hazard for metabolic disruption,High sedation potential,Severe akathisia,Increased weight gain risk,Lower hazard for metabolic disruption,1,1.0
22365467,Depression,Diagnostic,Which risk factor is associated with increased emotional symptoms in children born with low-to-moderate perinatal risks at ages 4 to 5?,Nutritional deficiencies,Genetic predisposition,Social background,Maternal parenting difficulties,Maternal parenting difficulties,4,4.0
34789494,Depression,Prognostic,What community-based intervention is proposed to potentially enhance mood and bonding in mothers experiencing postnatal depression?,Nature Walks,Singing Sessions,Yoga Classes,Meditation Workshops,Singing Sessions,2,2.0
23044635,Depression,Preventive,What is a significant safety concern associated with the use of escitalopram during pregnancy as highlighted in the literature review?,Delayed cognitive development,Psychiatric complications,Major malformations,Low birth weight,Major malformations,3,3.0
35206431,Depression,Prognostic,What is anticipated to happen to psychological symptoms among individuals during a second confinement compared to the first period of confinement?,Increase from previous levels,Diminish after initial rise,Remain unchanged,Decrease to lower levels,Increase from previous levels,1,1.0
22010201,Depression,Prognostic,How is depression associated with the likelihood of rehospitalization after acute myocardial infarction?,Lower probability of rehospitalization,Increased risk of rehospitalization,Rehospitalization is only based on age,No effect on rehospitalization,Increased risk of rehospitalization,2,1.0
33691368,Depression,Diagnostic,What occupational stress factors are identified as risk factors for depressive symptoms among fire fighters?,Work-life balance,Physical fitness,Sleep disorder,Job satisfaction,Sleep disorder,3,1.0
34669239,Anxiety,Preventive,What strategies can be implemented to improve conjoint coping in young couples affected by breast cancer?,Psychotherapy sessions,Couple communication workshops,Online forums,Educational seminars,Online forums,3,2.0
27858220,Depression,Diagnostic,Which cognitive factor is indicated to mediate the relationship between fear-avoidance cognitions and quality of life in chronic low back pain patients?,Social support,Anxiety,Depression,Catastrophizing,Catastrophizing,4,1.0
35151030,Anxiety,Factoid,Which neuropsychiatric disorder was associated with decreased levels of glutamate in the Anterior Cingulate Cortex?,Bipolar Disorder,Major Depressive Disorder,Generalized Anxiety Disorder,Schizophrenia,Major Depressive Disorder,2,2.0
35661754,Anxiety,Factoid,What condition is identified as having the highest prevalence of anxiety symptomatology among individuals with syndromic intellectual disability?,Rett syndrome,Down syndrome,Williams syndrome,Prader-Willi syndrome,Rett syndrome,1,4.0
21865958,Depression,Factoid,What treatment is considered the primary choice for patients with major depressive disorder who have not responded to antidepressant therapy?,Psychotherapy,Transcranial magnetic stimulation,Electroacupuncture,Electroconvulsive therapy,Electroconvulsive therapy,4,2.0
30763595,Depression,Preventive,What interventions could potentially minimize the neurobehavioral symptoms associated with reduced visceral adiposity following gastric bypass surgery?,Use of antidepressants,Counseling and therapy,Increased physical activity,Dietary modifications,Increased physical activity,3,3.0
38190857,Depression,Preventive,What comprehensive interventions are suggested for individuals with chronic diseases and comorbidities to mitigate suicide risk?,Physical exercise programs,Nutritional counseling,Medication adherence,Psychotherapy,Psychotherapy,4,3.0
21418640,Depression,Prognostic,How might psychosocial risk factors influence the prevalence of chronic fatigue syndrome in diverse ethnic communities?,Lower prevalence in high support areas,Increased prevalence linked to depression,No impact on prevalence,Decreased prevalence through physical activity,Increased prevalence linked to depression,2,3.0
33578876,Depression,Preventive,What potential benefit does creatine supplementation have in relation to mental health conditions?,Enhancing cognitive processing,Reducing physical fatigue,Improving sleep quality,Increasing weight loss,Enhancing cognitive processing,1,1.0
36716082,Anxiety,Factoid,Which mental health symptoms were searched more frequently in shortage areas compared to nonshortage areas?,Analytical thinking,Obsessive thoughts,Binge eating,Anxiety,Anxiety,4,2.0
35900251,Depression,Prognostic,What factors significantly predict suicide risk among patients with severe depressive episodes?,History of substance abuse,Social support and therapy engagement,Gender and age,Psychotic symptoms and depression scale scores,Psychotic symptoms and depression scale scores,4,3.0
36474788,Depression,Preventive,Which psychological factors are suggested as potential targets for interventions to improve postoperative outcomes in knee arthroplasty?,Pain catastrophizing and depressive symptoms,Physical therapy and rehabilitation,Anxiety and memory,Sleep quality and nutrition,Pain catastrophizing and depressive symptoms,1,2.0
36800778,Anxiety,Factoid,Which group reported the highest increase in depression and anxiety due to the impact of the COVID-19 pandemic?,Elderly individuals,Students,Children,Healthcare workers,Healthcare workers,4,1.0
32643490,Anxiety,Preventive,What intervention is shown to effectively reduce anxiety sensitivity in patients with panic disorder?,Cognitive-Behavioral Group Therapy,Mindfulness Training,Exposure Therapy,Medication Management,Cognitive-Behavioral Group Therapy,1,1.0
36370244,Anxiety,Diagnostic,What psychological process is identified as a mediator in the relationship between weight self-stigma and anxiety outcomes?,Experiential avoidance,Social support,Cognitive dissonance,Emotional regulation,Experiential avoidance,1,4.0
35687935,Anxiety,Preventive,What intervention strategies should healthcare providers consider for managing sleep problems associated with psychological distress in Social Networking Sites users?,Increased social support,Cognitive-behavioral therapy,Reduction of SNS use,Medication for anxiety,Cognitive-behavioral therapy,2,1.0
33647035,Anxiety,Preventive,What approach could help reduce anxiety symptoms in informal caregivers experiencing subjective caregiver burden?,Psychotherapeutic Interventions,Medication Management,Physical Exercise Programs,Nutritional Counseling,Psychotherapeutic Interventions,1,1.0
33235529,Depression,Diagnostic,Which gene's promoter region is implicated in the epigenetic mechanisms associated with adolescent depressive disorder and nonsuicidal self-injury?,BDNF,SLC6A4,POMC,COMT,POMC,3,1.0
34559226,Depression,Diagnostic,Which prior mental health condition significantly increases the risk of nonfatal self-injury in cancer patients?,Post-traumatic stress disorder,Bipolar disorder,Anxiety disorders,Severe psychiatric illness,Severe psychiatric illness,4,3.0
23027586,Depression,Diagnostic,Which diagnosis was more likely to lead to the receipt of primary mental health care among inmates?,Schizophrenia,Bipolar disorder,Major depressive disorder,Anxiety disorder,Major depressive disorder,3,3.0
35403067,Depression,Preventive,Which behavioral factor should be addressed to mitigate the impact of depressive symptoms on inflammation in pregnant African American women?,Cigarette smoking,Dietary habits,Physical inactivity,Sleep duration,Cigarette smoking,1,1.0
35772631,Depression,Prognostic,How do difficulties in emotion regulation relate to suicide risk among individuals with borderline personality disorder symptoms?,They lower suicide risk,They mediate the relationship with perceived burdensomeness,They have no effect on suicide risk,They solely increase emotional distress,They mediate the relationship with perceived burdensomeness,2,2.0
36999619,Depression,Prognostic,What is the likely impact of untreated depressive symptoms in cancer patients on their quality of life?,It decreases quality of life and increases suicide risk,It enhances treatment compliance,It has no significant effect,It improves their social interactions,It decreases quality of life and increases suicide risk,1,3.0
26742516,Depression,Preventive,What strategy could potentially minimize clinical symptoms in multiple sclerosis patients by improving autonomic nervous system balance?,Cognitive therapy,Psychotropic medication,Dietary changes,Physical exercise,Physical exercise,4,4.0
23888750,Depression,Diagnostic,Which substance has been associated with a potential risk of abuse due to its structural similarity to amphetamines?,Sertraline,Bupropion,Fluoxetine,Phenelzine,Bupropion,2,3.0
35781807,Anxiety,Prognostic,How does an increase in self-efficacy influence the trajectory of depressive symptoms in patients receiving cognitive behavioral therapy for generalized anxiety disorder?,Increased self-efficacy leads to a decrease in depressive symptoms,Increased self-efficacy leads to an increase in depressive symptoms,Increased self-efficacy has no effect on depressive symptoms,Increased self-efficacy only affects anxiety symptoms,Increased self-efficacy leads to a decrease in depressive symptoms,1,1.0
22443021,Anxiety,Prognostic,What is the anticipated outcome of using virtual reality hypnosis for pain control in patients with multiple fractures?,Worsening anxiety,Increased opioid use,Improved pain management,Longer recovery time,Improved pain management,3,4.0
32367638,Anxiety,Prognostic,How might understanding the subjective nature of crises improve intervention strategies for individuals diagnosed with borderline personality disorder?,By reducing access to care,By tailoring approaches to individual needs,By implementing standardized treatments,By increasing the frequency of interventions,By tailoring approaches to individual needs,2,2.0
34896332,Anxiety,Prognostic,What potential benefits might emerge from the transplantation of epidermal neural crest stem cells in a model of vascular dementia?,Enhancement of motor coordination,Reduction of blood pressure symptoms,Decrease in neuroinflammation levels,Improvement in anxiety and cognitive functions,Improvement in anxiety and cognitive functions,4,1.0
22204898,Anxiety,Prognostic,How does enhancing tolerance of uncertainty relate to management outcomes for social phobia?,It reduces social anxiety symptoms,It only affects depression symptoms,It has no effect on social anxiety,It increases social anxiety symptoms,It reduces social anxiety symptoms,1,3.0
22519392,Obsessive/Compulsive Disorders,Diagnostic,What specific behavior related to saliva is observed in patients with obsessive-compulsive disorder (OCD) symptoms?,Avoidance of saliva consumption,Cleansing rituals,Fear of saliva contamination,Compulsive swallowing,Fear of saliva contamination,3,2.0
33990241,Anxiety,Prognostic,How may pain and hopelessness influence future suicidal desire in psychiatric patients?,Increase the desire for social connections,Predict higher suicidal desire,Lead to increased motivation for recovery,Reduce feelings of distress,Predict higher suicidal desire,2,3.0
27754930,Anxiety,Diagnostic,How is oxidative stress linked to the impairment of emotional and mental well-being in neuropsychiatric disorders?,Enhances mood stabilization,Improves serotonin levels,Negatively impacts normal CNS functions,Promotes neurogenesis,Negatively impacts normal CNS functions,3,3.0
33991278,Anxiety,Prognostic,What factors are associated with worsening mental/social health in children and adolescents during the COVID-19 lockdown?,Living with extended family,Frequent outdoor activities,Single-parent family,High family income,Single-parent family,3,3.0
22023014,Anxiety,Preventive,What personal factors were identified as potential predictors for anxiety symptoms in adults living in extreme poverty?,Social support and optimism,Education level and physical health,Self-regulation and coping style,Employment status and family size,Self-regulation and coping style,3,1.0
33389057,Obsessive/Compulsive Disorders,Diagnostic,"In individuals with schizo-obsessive traits, what was observed in their executive control network's functional connectivity?",No significant changes observed,Decreased connectivity compared to controls,Diminished connectivity only during tasks,Increased connectivity compared to controls,Decreased connectivity compared to controls,2,3.0
20947638,Anxiety,Factoid,Which mGlu2 potentiator was evaluated for its potential anxiolytic/antidepressant properties?,Imipramine,Fluoxetine,Sertraline,THIIC,THIIC,4,2.0
33155503,Depression,Diagnostic,Which enantiomer of ketamine is associated with longer-lasting antidepressant effects with fewer side effects?,R-ketamine,Neither has lasting effects,Both are equal,S-ketamine,R-ketamine,1,1.0
35593189,Depression,Preventive,Which type of intervention may improve mental health and reduce fear among children during the COVID-19 pandemic?,Online counseling,Individual therapy,School-based intervention,Medication management,School-based intervention,3,3.0
19755574,Depression,Preventive,Which type of therapy was evaluated for its efficacy in reducing suicidal behaviors in borderline personality disorder patients?,Psychoanalytic therapy,Interpersonal therapy,Cognitive behavioral therapy,Dialectical behavior therapy,Dialectical behavior therapy,4,4.0
18551885,Depression,Diagnostic,What type of psychiatric symptomatology is most commonly associated with the abuse of Coricidin HBP among adolescents?,Borderline personality disorder,Depressive symptomatology,Anxiety disorders,Bipolar disorder,Depressive symptomatology,2,3.0
34513609,Depression,Preventive,What precautionary measures are suggested to reduce the risk of hypomanic/manic switch when using transcranial magnetic stimulation for mood disorders?,Monitor patient mood closely,Increase treatment frequency,Use higher stimulation intensity,Limit patient interactions,Monitor patient mood closely,1,3.0
27475254,Anxiety,Diagnostic,Which factor is proposed as an underlying mechanism in the relationship between discrimination experiences and anxiety symptoms among sexual minority adults?,Social support,Distress tolerance,Coping strategies,Physical health,Distress tolerance,2,2.0
24991620,Depression,Prognostic,What factor is identified as having a significant role in predicting methadone poisoning incidents among patients?,History of psychiatric disorder,Gender of the patient,Living conditions,Age of the patient,History of psychiatric disorder,1,3.0
23248334,Depression,Factoid,What type of seizures did the patient experience after receiving electroconvulsive therapy for treatment-resistant depression?,Atypical absence seizures,Myoclonic seizures,Focal seizures,Generalized tonic-clonic seizures,Atypical absence seizures,1,3.0
37207727,Depression,Diagnostic,Which brain regions are associated with alterations in emotional processing related to suicidal ideation in depression?,Cingulate cortex and hippocampus,Basal ganglia and brainstem,Occipital and cerebellar regions,"Frontal, temporal, and parietal lobes","Frontal, temporal, and parietal lobes",4,4.0
34762922,Depression,Prognostic,What effect can the restoration of insulin and leptin sensitivity potentially have on neuropsychiatric diseases such as depression?,It may reverse cognitive deficits,It may enhance leptin resistance,It may worsen depressive symptoms,It may increase metabolic disorders,It may reverse cognitive deficits,1,1.0
36800778,Anxiety,Diagnostic,Which of the following disorders was noted as the most prevalent in the general population as a consequence of the COVID-19 pandemic?,Anxiety disorders,Depression,Post-traumatic stress disorder,Panic disorder,Anxiety disorders,1,1.0
